web-scraper-order,web-scraper-start-url,link,link-href,stars,stars-href
"1623598682-1799","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1501/mother-kids.html?trafficChannel=main&catName‌","https://www.aliexpress.com/category/1501/mother-kids.html?trafficChannel=main&catName=mother-kids&CatId=1501&ltype=wholesale&SortType=default&page=1&isrefine=y","4.8","https://www.aliexpress.com/item/32934367016.html?algo_pvid=c7b070e9-b82b-49a4-a123-a3c8a801fed5&algo_exp_id=c7b070e9-b82b-49a4-a123-a3c8a801fed5-9#feedback"
"1623597905-810","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/200002489/hair-extensions-wigs.html?trafficChannel=‌","https://www.aliexpress.com/category/200002489/hair-extensions-wigs.html?trafficChannel=main&catName=hair-extensions-wigs&CatId=200002489&ltype=wholesale&SortType=default&page=5&isrefine=y","5","https://www.aliexpress.com/item/1005002176725373.html?algo_pvid=0e033871-b887-4149-ae7c-254ca0568db3&algo_exp_id=0e033871-b887-4149-ae7c-254ca0568db3-47#feedback"
"1623600248-3767","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&ca‌","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&catName=jewelry-accessories&CatId=1509&ltype=wholesale&SortType=default&page=2&isrefine=y","4.9","https://www.aliexpress.com/item/4000093084255.html?algo_pvid=107c9daf-5978-4011-9077-c9e790b461f1&algo_exp_id=107c9daf-5978-4011-9077-c9e790b461f1-1#feedback"
"1623600208-3723","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&ca‌","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&catName=jewelry-accessories&CatId=1509&ltype=wholesale&SortType=default&page=3&isrefine=y","4.7","https://www.aliexpress.com/item/1005001909613786.html?aem_p4p_detail=20210613090249939785494374650012829438#feedback"
"1623599405-2658","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/6/home-appliances.html?trafficChannel=main&catNam‌","https://www.aliexpress.com/category/6/home-appliances.html?trafficChannel=main&catName=home-appliances&CatId=6&ltype=wholesale&SortType=default&page=3&isrefine=y","5","https://www.aliexpress.com/item/1005002381996401.html?algo_pvid=167934b8-13e8-4db4-b1b1-cdcf73e48a3a&algo_exp_id=167934b8-13e8-4db4-b1b1-cdcf73e48a3a-25#feedback"
"1623600169-3701","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&ca‌","https://www.aliexpress.com/category/1509/jewelry-accessories.html?trafficChannel=main&catName=jewelry-accessories&CatId=1509&ltype=wholesale&SortType=default&page=4&isrefine=y","4.8","https://www.aliexpress.com/item/33012816269.html?algo_pvid=85be919b-76ea-46a3-8751-41d19cfd40c4&algo_exp_id=85be919b-76ea-46a3-8751-41d19cfd40c4-40#feedback"
"1623599168-2368","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/1524/luggage-bags.html?trafficChannel=main&catNam‌","https://www.aliexpress.com/category/1524/luggage-bags.html?trafficChannel=main&catName=luggage-bags&CatId=1524&ltype=wholesale&SortType=default&page=4&isrefine=y","5","https://www.aliexpress.com/item/1005002025225257.html?aem_p4p_detail=202106130845294807639008792950012735942#feedback"
"1623601196-5042","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/509/cellphones-telecommunications.html?trafficChanne‌","https://www.aliexpress.com/category/509/cellphones-telecommunications.html?trafficChannel=main&catName=cellphones-telecommunications&CatId=509&ltype=wholesale&SortType=default&page=2&isrefine=y","5","https://www.aliexpress.com/item/1005001847645091.html?aem_p4p_detail=202106130919163582106324041700012916382#feedback"
"1623600997-4778","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/7/computer-office.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/7/computer-office.html?trafficChannel=main&catName=computer-office&CatId=7&ltype=wholesale&SortType=default&page=2&isrefine=y","4.8","https://www.aliexpress.com/item/32846784827.html?algo_pvid=3fc2a55b-3a8e-49d0-999d-b098eb8b6eeb&algo_exp_id=3fc2a55b-3a8e-49d0-999d-b098eb8b6eeb-21#feedback"
"1623601640-5437","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/100003109/women-clothing.html?trafficChannel=main&‌","https://www.aliexpress.com/category/100003109/women-clothing.html?trafficChannel=main&catName=women-clothing&CatId=100003109&ltype=wholesale&SortType=default&page=1&isrefine=y","5","https://www.aliexpress.com/item/1005002572074346.html?algo_pvid=6ebfc82f-af2f-412b-9ca4-9891b0801f3f&algo_exp_id=6ebfc82f-af2f-412b-9ca4-9891b0801f3f-7#feedback"
"1623599892-3288","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=‌","https://www.aliexpress.com/category/15/home-garden.html?trafficChannel=main&catName=home-garden&CatId=15&ltype=wholesale&SortType=default&page=1&isrefine=y","4.8","https://www.aliexpress.com/item/1005002028400750.html?algo_pvid=28fcbcd2-ee04-48ac-9012-3700284f087b&algo_exp_id=28fcbcd2-ee04-48ac-9012-3700284f087b-12#feedback"
"1623597944-827","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/200002489/hair-extensions-wigs.html?trafficChannel=‌","https://www.aliexpress.com/category/200002489/hair-extensions-wigs.html?trafficChannel=main&catName=hair-extensions-wigs&CatId=200002489&ltype=wholesale&SortType=default&page=4&isrefine=y","4.9","https://www.aliexpress.com/item/4001252736223.html?algo_pvid=a0138be3-ee70-43d9-94f9-9e3f64b471fd&algo_exp_id=a0138be3-ee70-43d9-94f9-9e3f64b471fd-13#feedback"
"1623600366-3957","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/44/consumer-electronics.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/44/consumer-electronics.html?trafficChannel=main&catName=consumer-electronics&CatId=44&ltype=wholesale&SortType=default&page=4&isrefine=y","4.9","https://www.aliexpress.com/item/1005002353427417.html?algo_pvid=66784060-4dbd-4b46-b206-db92553e53ed&algo_exp_id=66784060-4dbd-4b46-b206-db92553e53ed-46#feedback"
"1623598484-1566","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&cat‌","https://www.aliexpress.com/category/18/sports-entertainment.html?trafficChannel=main&catName=sports-entertainment&CatId=18&ltype=wholesale&SortType=default&page=1&isrefine=y","4.9","https://www.aliexpress.com/item/1005001489177775.html?algo_pvid=4d05dbf5-7040-49dc-9d1e-ac810552c4cd&algo_exp_id=4d05dbf5-7040-49dc-9d1e-ac810552c4cd-43#feedback"
"1623599085-2266","https://docs.google.com/document/d/1OVYWh_v18JQmNqpsLDGclLr7n3JxuUWJbV86qQP2YyU/edit?usp=sharing","https://www.aliexpress.com/category/322/shoes.html?trafficChannel=main&catName=shoes‌","https://www.aliexpress.com/category/322/shoes.html?trafficChannel=main&catName=shoes&CatId=322&ltype=wholesale&SortType=default&page=1&isrefine=y","4.7","https://www.aliexpress.com/item/1005002367903590.html?algo_pvid=97b22aa4-8d3b-4dfe-aa7a-d22f47649a9d&algo_exp_id=97b22aa4-8d3b-4dfe-aa7a-d22f47649a9d-41#feedback"
